Method;File;Num Communities;Modularity;Jaccard Index;Normalized Mutual Information;Normalized Variation of Information
InfoMap;synthetic_network_N_300_blocks_5_prr_0.64_prs_0.02.net;5;0,6855902784960461;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.66_prs_0.02.net;5;0,6885694427932835;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.66_prs_0.02.net;5;0,6885694427932835;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.66_prs_0.02.net;5;0,6885694427932835;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.68_prs_0.02.net;5;0,6915033072939444;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.68_prs_0.02.net;5;0,6915033072939444;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.68_prs_0.02.net;5;0,6915033072939444;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.70_prs_0.02.net;5;0,6940190245755324;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.70_prs_0.02.net;5;0,6940190245755324;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.70_prs_0.02.net;5;0,6940190245755324;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.72_prs_0.02.net;5;0,6967120050943905;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.72_prs_0.02.net;5;0,6967120050943905;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.72_prs_0.02.net;5;0,6967120050943905;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.74_prs_0.02.net;5;0,6992097410727585;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.74_prs_0.02.net;5;0,6992097410727585;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.74_prs_0.02.net;5;0,6992097410727585;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.76_prs_0.02.net;5;0,701640715428239;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.76_prs_0.02.net;5;0,701640715428239;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.76_prs_0.02.net;5;0,701640715428239;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.78_prs_0.02.net;5;0,7038379684503779;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.78_prs_0.02.net;5;0,7038379684503779;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.78_prs_0.02.net;5;0,7038379684503779;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.80_prs_0.02.net;5;0,7059326663580259;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.80_prs_0.02.net;5;0,7059326663580259;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.80_prs_0.02.net;5;0,7059326663580259;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.82_prs_0.02.net;5;0,708120732190066;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.82_prs_0.02.net;5;0,708120732190066;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.82_prs_0.02.net;5;0,708120732190066;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.84_prs_0.02.net;5;0,710136446422488;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.84_prs_0.02.net;5;0,710136446422488;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.84_prs_0.02.net;5;0,710136446422488;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.86_prs_0.02.net;5;0,7118254150253774;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.86_prs_0.02.net;5;0,7118254150253774;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.86_prs_0.02.net;5;0,7118254150253774;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.88_prs_0.02.net;5;0,713639477957258;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.88_prs_0.02.net;5;0,713639477957258;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.88_prs_0.02.net;5;0,713639477957258;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.90_prs_0.02.net;5;0,7154589052488309;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.90_prs_0.02.net;5;0,7154589052488309;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.90_prs_0.02.net;5;0,7154589052488309;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.92_prs_0.02.net;5;0,7172030309386264;1,0;1,0;0,0
